country,date,ML,Low_90,High_90
Lithuania,2020-03-26,1.0566011156446669,0.5579113414265096,1.452543147788527
Lithuania,2020-03-27,1.0296431455728376,0.6489795889715884,1.4867634810188985
Lithuania,2020-03-28,1.0108124675293888,0.6144326495875607,1.4298119683745203
Lithuania,2020-03-29,0.9918602481576632,0.5907346662170834,1.375828347617477
Lithuania,2020-03-30,0.9863236591079833,0.5723513859606296,1.3366234949667928
Lithuania,2020-03-31,0.9751559981265029,0.5773866685501047,1.3504993125948643
Lithuania,2020-04-01,0.9578079437445293,0.5872736729269944,1.3330838526340585
Lithuania,2020-04-02,0.9320446273469363,0.5588323719577367,1.2781577149686285
Lithuania,2020-04-03,0.9067313697133247,0.5423301165857318,1.2581612573453984
Lithuania,2020-04-04,0.878872586473103,0.4857691979167432,1.194093913479521
Lithuania,2020-04-05,0.8607951504713546,0.4984629964910147,1.205383778164067
Lithuania,2020-04-06,0.8547958456323264,0.4787292488276935,1.1977159971434441
Lithuania,2020-04-07,0.8557711682925973,0.498107791288777,1.2170213699330554
Lithuania,2020-04-08,0.8627313788734823,0.4918357930159196,1.2208066966799735
Lithuania,2020-04-09,0.8594006778482445,0.4847018922736443,1.2127978271715876
Lithuania,2020-04-10,0.851776764366098,0.46479333012453633,1.1984594028966864
Lithuania,2020-04-11,0.8471013128182456,0.47742348686957214,1.2255595946226536
Lithuania,2020-04-12,0.8532123370490403,0.4622187872924298,1.2165933465638104
Lithuania,2020-04-13,0.8686634488485998,0.4602847460375059,1.2402306468422066
Lithuania,2020-04-14,0.9042063344418185,0.3962105870497496,1.2612043361744052
Lithuania,2020-04-15,0.9265895070269259,0.4484190657992709,1.3656317922288055
Lithuania,2020-04-16,0.9223149093663389,0.44337618915738475,1.3648320917181243
Lithuania,2020-04-17,0.8835543691307646,0.44557936068075393,1.3039269591088463
Lithuania,2020-04-18,0.8393274591395374,0.4249947423886523,1.2105664926183861
Lithuania,2020-04-19,0.8020953677277614,0.4078302524059666,1.2010985412393276
Lithuania,2020-04-20,0.7811810817183014,0.35654431893252975,1.1770636130127587
Lithuania,2020-04-21,0.7726037086678508,0.3307872010269553,1.167592413880825
Lithuania,2020-04-22,0.7708002654536315,0.34780015223939936,1.2042001340204307
Lithuania,2020-04-23,0.7724381174369812,0.33274427209081764,1.2071323536531655
Lithuania,2020-04-24,0.7743573808156691,0.3163403075268313,1.213599586345607
Luxembourg,2020-03-16,2.799106173721957,1.5059952199579238,3.874867879361111
Luxembourg,2020-03-17,2.772743677402732,1.6391588723113002,3.8935951494395376
Luxembourg,2020-03-18,2.6210380030279277,1.5722669964972396,3.618187330923777
Luxembourg,2020-03-19,2.2254081016077585,1.4123607279700812,3.0128954547981532
Luxembourg,2020-03-20,1.859997548397007,1.2331586541961703,2.4798620585670608
Luxembourg,2020-03-21,1.609932042526411,1.075637611635348,2.10797221598527
Luxembourg,2020-03-22,1.4280033981911868,0.9823962042734786,1.875608074899177
Luxembourg,2020-03-23,1.2818048443921648,0.8953241952810302,1.7011293815007191
Luxembourg,2020-03-24,1.184450403454004,0.8027407432371003,1.5623839280249465
Luxembourg,2020-03-25,1.0866526216286212,0.7092311533759117,1.4193839814064302
Luxembourg,2020-03-26,0.9757594091924869,0.6281174403484988,1.3104067010819869
Luxembourg,2020-03-27,0.8734634673878102,0.5432659526032793,1.179707188349258
Luxembourg,2020-03-28,0.8093258953101956,0.48119143442661194,1.089044451892277
Luxembourg,2020-03-29,0.7771559570954741,0.4697415208820188,1.0701676802316147
Luxembourg,2020-03-30,0.7750038085323907,0.4588263004744576,1.0971410687509517
Luxembourg,2020-03-31,0.7604459076333175,0.4184430464897411,1.07118105751736
Luxembourg,2020-04-01,0.7310555579613676,0.40046281905438963,1.0667879651488934
Luxembourg,2020-04-02,0.6903532755604106,0.3364895938570869,0.9889816371977539
Luxembourg,2020-04-03,0.6379253724682711,0.33047736738123185,0.9589762861179645
Luxembourg,2020-04-04,0.5918023691538965,0.2985115255640166,0.9123154239555485
Luxembourg,2020-04-05,0.5720427040095137,0.2541724221805777,0.8754361212802524
Luxembourg,2020-04-06,0.5663110557549155,0.23418469095967337,0.8724138515726692
Luxembourg,2020-04-07,0.5641738228138322,0.22386631365298953,0.8819843020127663
Luxembourg,2020-04-08,0.5563456890114145,0.19626114475232384,0.8735617161202633
Luxembourg,2020-04-09,0.5385270089238564,0.16413582759157244,0.8324119880603377
Luxembourg,2020-04-10,0.5190609566756129,0.2011019234887059,0.8559318877808298
Luxembourg,2020-04-11,0.5086425691662679,0.169420068879704,0.8238834488950765
Luxembourg,2020-04-12,0.5215549723524711,0.18726147201097973,0.8878835890342476
Luxembourg,2020-04-13,0.5429454410317566,0.1387435423523469,0.8842570737946492
Luxembourg,2020-04-14,0.5738785693343491,0.14507088244934452,0.9405082524948473
Luxembourg,2020-04-15,0.602421422579698,0.13499045549772734,0.982855542289567
Luxembourg,2020-04-16,0.6051504188447657,0.11640677692119059,0.9851037220910265
Luxembourg,2020-04-17,0.5930506418610034,0.16234584827398177,1.0098669415060957
Luxembourg,2020-04-18,0.5833179525597781,0.12522498633458345,0.9642249928644392
Luxembourg,2020-04-19,0.5768105328923155,0.13144897062169972,0.990514376948246
Luxembourg,2020-04-20,0.5794302613276096,0.1284631282296561,1.0054459265523763
Luxembourg,2020-04-21,0.5900419539041302,0.10348616750585536,1.0275188000017297
Luxembourg,2020-04-22,0.597572508821017,0.062389703927027335,1.0130721886507394
Luxembourg,2020-04-23,0.609415584906301,0.016530116723359516,1.0378834521535354
Luxembourg,2020-04-24,0.6216310750295629,0.028764517103976255,1.0882867523550934
Netherlands,2020-03-06,1.9061205638945087,1.2504579486092833,2.5715054858896766
Netherlands,2020-03-07,1.8832996156359143,1.2819372158152595,2.474464226060251
